2023-06-30 00:31:48,997 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60360), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688074308.995465, 'user': {'account_name': 'hjkhkjh'}}), {} from the function init_socket
2023-06-30 00:31:49,500 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60360), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-30 00:31:49,500 DEBUG      generated hello_message from the server: {'response': 200}
2023-06-30 00:31:49,500 INFO       sending message 200 : OK from server to client
2023-06-30 00:31:49,523 DEBUG      The client started processes for sending and receiving messages
2023-06-30 00:33:58,987 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-30 00:33:58,991 INFO       server connection established
2023-06-30 00:33:58,991 DEBUG      generated message 'presence' for user jhkjhk\
2023-06-30 00:33:58,994 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 40050), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688074438.9915884, 'user': {'account_name': 'jhkjhk\\'}}), {} from the function init_socket
2023-06-30 00:33:59,495 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 40050), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-30 00:33:59,496 DEBUG      generated hello_message from the server: {'response': 200}
2023-06-30 00:33:59,496 INFO       sending message 200 : OK from server to client
2023-06-30 00:33:59,505 DEBUG      The client started processes for sending and receiving messages
2023-06-30 00:35:54,393 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-30 00:35:54,394 INFO       server connection established
2023-06-30 00:35:54,395 DEBUG      generated message 'presence' for user jkbkjkjlknk
2023-06-30 00:35:54,396 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 33502), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688074554.3950887, 'user': {'account_name': 'jkbkjkjlknk'}}), {} from the function init_socket
2023-06-30 00:35:54,402 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 33502), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-30 00:35:54,403 DEBUG      generated hello_message from the server: {'response': 200}
2023-06-30 00:35:54,403 INFO       sending message 200 : OK from server to client
2023-06-30 00:35:54,408 DEBUG      The client started processes for sending and receiving messages
2023-06-30 00:36:08,766 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 33502), raddr=('127.0.0.1', 7777)>, {'action': 'exit', 'time': 1688074568.7642963, 'account_name': 'jkbkjkjlknk'}), {} from the function user_interactive
2023-06-30 00:36:08,767 INFO       Connection ended after user jkbkjkjlknk command
2023-06-30 00:36:09,020 CRITICAL   error sending response from server
2023-06-30 00:36:35,529 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-30 00:36:35,531 INFO       server connection established
2023-06-30 00:36:35,532 DEBUG      generated message 'presence' for user user_1
